Video Link,Video Views,Uploaded Date,Comments,Likes,Dislikes
['https://www.youtube.com/watch/il_pSa5l98w'],"4,970,761 views","Jan 1, 2018",Who’s here after Logan’s apology,192K,38K
['https://www.youtube.com/watch/Ik9JXtQDqmU'],"29,002 views","Nov 13, 2017",Shalom anna time ki me messages vadtundhi 2:30am ki lechi milk saple chestan a time ki me messages vastundhi me pradhanalo akibavinchi work stat chestan thank to god Shalom friends,1.2K,17
['https://www.youtube.com/watch/ifqJNMRupEU'],"256,009 views","Nov 12, 2017",ജോബിച്ചേട്ടന്റെ നാട്ടിലെ വീട്ടിൽ എത്ര ആപ്പിൾമരമുണ്ട്? കാണാത്ത ആ അധിമനോഹരകാഴ്ച ഞങ്ങളെക്കൂടി കാണിക്കുമോ?,2.5K,308
['https://www.youtube.com/watch/HroHi1lUg6M'],"62,994 views","Nov 13, 2017",banana carbohydrates......,161,40
['https://www.youtube.com/watch/HpsNMeomQgY'],"43,669,991 views","May 24, 2018",Ek baar atif aslam self fish hoke aise gaane ke offers of reject karo na😂😂😂,369K,164K
['https://www.youtube.com/watch/hmRt1GgCqxg'],"54,719,955 views","Jun 1, 2018",Congratulations 7M subscriber,459K,105K
['https://www.youtube.com/watch/Hm32viIpFqk'],"47,969,259 views","Mar 22, 2018","People : Movie sequels are always worse than the original

Deadpool 2 : Hold my beer",638K,16K
['https://www.youtube.com/watch/Hk5dxn5dj2M'],"4,943,484 views","Nov 14, 2017",Watch Mana Mugguri Love Story all 18 episodes right now available on YuppTV at https://goo.gl/6k8azX,33K,2.5K
['https://www.youtube.com/watch/hJ6nM40tuKQ'],"4,823,385 views","Nov 12, 2017",quality upload right here Ryan,189K,2.9K
['https://www.youtube.com/watch/Hj2GF4YG1Ww'],"536,339 views","Nov 11, 2017",The end of last video was little offensive so had to reshoot it and Shubham bhai was busy with his Ted Talk today so he couldnt come for the video. Enjoy guys :* pucchi,31K,2.2K
['https://www.youtube.com/watch/HilwZ2E5PX8'],"126,004 views","Nov 12, 2017",Guruvu gaaru.... Namaskaraam  intlo ee pooja  chesukovaccha....  Mariyu  intlo  chesinaaka... Biyyani  Em cheyyali,499,104
['https://www.youtube.com/watch/HhTRGnR9X6I'],"18,839,412 views","Dec 28, 2017","Aage Piche Laakho Tujh Jaisi Hain
Kyuki Hum Desi Hain. ❤️😊

Hit Like Button Agar Aap Bhi Dil Se Desi Hain😘",687K,17K
['https://www.youtube.com/watch/hDUel4MX-Fw'],"32,431,323 views","Dec 10, 2017",So EA is the antagonist? lol,283K,14K
['https://www.youtube.com/watch/h6Z9mmSNJcw'],"187,168 views","Nov 13, 2017",Nalla peasura da periyamma tranning summava,570,369
['https://www.youtube.com/watch/H34qrTkhFz0'],"1,569,305 views","Nov 12, 2017","Bhaiyo like karo agar pasand aayi video, Facebook pe link share kro video ka, hame support milega is se ❤❤❤❤",55K,1.6K
['https://www.youtube.com/watch/gWZwfjfgwGs'],"28,957 views","Nov 13, 2017",Good news . It has to end .  Too many stories running together with ending which does not make sense .,94,28
['https://www.youtube.com/watch/gW4Su5wq0b8'],"309,413 views","Nov 13, 2017","My 3.5 year old Moto X 2 Gen still works great.. 
Moto Quality is the best",6.3K,201
['https://www.youtube.com/watch/GuO4gJs9BFs'],"93,192 views","Nov 14, 2017","""Kalatha chendi nattu ga telustundhi"" - ela telustundho matram cheparu! Miku ratri nidra lo kala vachindha...leka views kosam vallu idhi anaru adhi anaru ani kasula moju lo padi ni gauravani takatu pedtunava!",106,54
['https://www.youtube.com/watch/gUlzhZ1ETXg'],"55,059,315 views","Nov 10, 2017","A woman who immolated herself for her honor.
A man who died fighting for his woman's honor.
Don't you think this is a better love story than Romeo & Juliet?",343K,24K
['https://www.youtube.com/watch/GqdUSoPDkeo'],"45,189,908 views","Apr 13, 2018","“Main aur mera kaala 
Kholenge sabka taala”
Kaunsa scene aapko sabse acha laga?
Comment NOW!",1.6M,46K
['https://www.youtube.com/watch/GqCAVnvb3QA'],"1,252,189 views","Nov 13, 2017","GeekyRanjit is the best!! 
Other tech youtubers does crappy things like giveaway..
Ranjit Sir doesn't need that because people love him and we are genuine subscribers of his channel😊
Proud to be GeekyRanjit Fan😊",15K,1.3K
['https://www.youtube.com/watch/GN4kB3D7aaM'],"2,327,746 views","Nov 16, 2017","Kal waale video mein panga ho gaya kuch, abhi isko utna hi pyaar dedo jaldi jaldi LIKE aur SHARE kardo...Hari chutni mat bhoolna...",213K,4.2K
['https://www.youtube.com/watch/gLVZNTtr_rI'],"824,111 views","Nov 11, 2017",,2.9K,471
['https://www.youtube.com/watch/GL1hj67Er8c'],"321,737 views","Nov 15, 2017","Om Sai namo namah, shirdi sai namo namah, jai jai sai namo namah, sadguru sai namo namah🙏🙏🙏🌸💮🏵🌼🙏🙏🙏",1.3K,331
['https://www.youtube.com/watch/gjXrm2Q-te4'],"1,610,495 views","Nov 14, 2017",Trump is the joke that writes itself.,18K,835
['https://www.youtube.com/watch/gFbY974MF88'],"358,697 views","Nov 14, 2017","Awesome harsimran and arsh benipal veere.
Full support ❤️👌
Kaint teaser",4.2K,267
['https://www.youtube.com/watch/GCSPBKnbpJc'],"295,271 views","Nov 11, 2017",Grand entry-Archana IAS  Sakthi-Vamsam mudhia pogudhu! Santhosama irukku!,1.1K,213
['https://www.youtube.com/watch/GCo-kUYSPmw'],"958,329 views","Nov 11, 2017",You will Like this Short Film Too: https://youtu.be/I9x_UfOiqL0,8.1K,726
['https://www.youtube.com/watch/GcJSg7ZFVwk'],"794,807 views","Nov 15, 2017",Recent Best video of Mahathalli. Short and simple with fun. Real colors never fade away like colors swathi 😍.Keep rocking jahanavi😀 & all d best Hero👍,8.5K,689
['https://www.youtube.com/watch/g8QsfJhFpjY'],"1,087,291 views","Nov 14, 2017","சத்யா தான் மெயின் வில்லி.
டைரக்டர்க்கு பைத்தியம் பிடிச்சுடுச்சு",4.1K,1.6K
['https://www.youtube.com/watch/g7SdBlW1Zj8'],"360,943 views","Nov 10, 2017","Priyank dont have brain to use,  he do what Hina  says, and personal comment attack tho ek looser hi kar saktha hai.",1.5K,635
['https://www.youtube.com/watch/g7BHnHzwOVo'],"670,092 views","Nov 11, 2017",U r the Comedy kings and comedy Queen's  nice jokes,3K,572
['https://www.youtube.com/watch/g6ydk-TTdYM'],"377,514 views","Nov 10, 2017",,1.1K,84
['https://www.youtube.com/watch/g4Hbz2jLxvQ'],"566,699 views","Nov 14, 2017",அந்த குழந்தை டிம்பிள்க்கு சொந்த குழந்தை என்று நினைக்குறேன்...அழகு...,2K,435
['https://www.youtube.com/watch/g2orJgNOpnU'],"98,361 views","Nov 14, 2017",I am going to be a father..this is so thoughtful and inspiring!!!!,2.8K,31
['https://www.youtube.com/watch/Fvg3EkAp15E'],"105,998 views","Nov 12, 2017",,306,58
['https://www.youtube.com/watch/fRY7UWGFvdc'],"1,618,587 views","Nov 13, 2017",பிச்சைக்காரன்தான்டா வரதட்சணை கேட்பான்.,2.4K,813
['https://www.youtube.com/watch/fQmPqaNYHls'],"3,981,277 views","Nov 14, 2017",shivayudeyum keshunteyum school kaanan aagrahamullavar like,18K,2.9K
['https://www.youtube.com/watch/FPm7xM849-E'],"14,027,230 views","Feb 27, 2018",The funniest joke she ever told was “I want be a comedian”,639K,13K
['https://www.youtube.com/watch/FlsCjmMhFmw'],"705,863 views","Nov 11, 2017","நான் காலையில் படுக்கையிலிருந்து எழும்புகிறேன்
நீ நெருப்புப் புகையோடு
போராடிக் கொண்டிருக்கிறாய். ",2.9K,573
['https://www.youtube.com/watch/fJXWRFizc6E'],"550,872 views","Nov 15, 2017",Kutty pooja,1.8K,432
['https://www.youtube.com/watch/fGIBFfRkxyU'],"193,979 views","Nov 12, 2017",victory Venkatesh really a super star..perfect couple ...venkatesh Garu and his wife.,553,23
['https://www.youtube.com/watch/FepIkIILumA'],"3,352,330 views","Nov 15, 2017",Watch the full video for the surprise :),70K,3.3K
['https://www.youtube.com/watch/FBzjw0yPup0'],"575,075 views","Nov 11, 2017","Kriti and Rajkumar, do more films together. Good chemistry.",4.8K,213
['https://www.youtube.com/watch/fAIX12F6958'],"76,397 views","Nov 12, 2017",Jagan need such leaders to give good advice. Good luck,1K,47
['https://www.youtube.com/watch/F9Fd3AUaOC4'],"1,117,743 views","Nov 15, 2017",Maha pappa look very cute,4.3K,1.4K
['https://www.youtube.com/watch/f6WDM-QTwEo'],"1,726,368 views","Nov 14, 2017",ఇవంకా దయచేసి మా దేశంలో రోడ్లు అన్నిటి మీద నువ్వు నడిస్తే కనీసం మా రోడ్లు అయినా బాగుపడతాయి,5.6K,760
['https://www.youtube.com/watch/f6NJvg-kWJ8'],"111,596 views","Nov 11, 2017",okk thnq n luv u!!,259,51
['https://www.youtube.com/watch/F2MGNXj8HLo'],"94,703,231 views","Nov 11, 2017",Punjab vi karlo koi gana,763K,47K
['https://www.youtube.com/watch/F2lN25IayH8'],"710,317 views","Nov 13, 2017",ऐसा लगता है कि देश विनाश की ओर जा रहा है,6K,899
['https://www.youtube.com/watch/f2GeSskSsy8'],"142,341 views","Nov 10, 2017",ohh adke jagan ge asht bildup...,631,90
['https://www.youtube.com/watch/f1xLsNNlaVk'],"639,134 views","Nov 12, 2017","இதையெல்லாம் தாங்கள் கூட இருந்து பார்த்தீர்களா, எதோ பார்த்த மாதிரியேய் சொல்லுறீங்களே.!! LOL",1K,454
['https://www.youtube.com/watch/EyPXz6hKa_s'],"4,627,762 views","Nov 10, 2017","RESPONDING TO SOME FURTHER QUESTIONS; 
the app crash; i could not close the app in landscape or portrait - i tried swiping from every direction, this was more than a UX problem - i was able to recreate the phone freezing twice.  it was real.   
multitasking; app switching is super simple but closing apps from the card view is slow and tedious.  i was not as clear as i shouldve been.  (actually think app switching is way better on the X and any previous iteration) wish there was a close all option though.  ",125K,8.1K
['https://www.youtube.com/watch/EU-y4Y7khJU'],"39,437 views","Nov 12, 2017",,LIKE,DISLIKE
['https://www.youtube.com/watch/eS4rlDJ1aVQ'],"239,223,839 views","Nov 29, 2017",No movie trailer will ever live up to the hype that this one did,3.6M,88K
['https://www.youtube.com/watch/ePO5M5DE01I'],"2,888,422 views","Nov 12, 2017",I can't understand that loosing virginity is important after 18 ?? 🤔🤔🤔🤔,22K,1.4K
['https://www.youtube.com/watch/ep3SLMuRbvg'],"22,722,149 views","Dec 3, 2017","""Mubarak ho Cheeku dadaji guzar gaye"" 😂😂😂

Keep Sharing, Keep Loving! <3",697K,12K
['https://www.youtube.com/watch/EkfWXfbzS8k'],"267,808 views","Streamed live on Nov 13, 2017","Aajkal toh YouTube se acchi dosti ho chuki hai, live makkhan kaam karta hai ekdum :)",43K,1.1K
['https://www.youtube.com/watch/ek1ePFp-nBI'],"103,306 views","Nov 13, 2017",You look soo gorgeous omg! 😍😍,4.1K,230
['https://www.youtube.com/watch/EJVvdjDGnak'],"30,906,815 views","Jun 4, 2018",T-series ko bhi trending No.1 se hataa diya Amit Bhai ne..........,878K,36K
['https://www.youtube.com/watch/eiDiKwbGfIY'],"17,477,112 views","Feb 17, 2018",imagine having one of the most important days of you life being ruined by Jake Paul dabbing and burping...,647K,14K
['https://www.youtube.com/watch/efpUCPITNmw'],"838,051 views","Nov 11, 2017",Nammude queenle dhruvinte old lover alle aa kutti?? Ethayalum thakarthu😍😍,6.3K,1.2K
['https://www.youtube.com/watch/EFkd5ymLfjs'],"117,231 views","Nov 12, 2017",vaayu lingeswara,973,95
['https://www.youtube.com/watch/eDf-QoNxkk8'],"174,537 views","Nov 11, 2017",Like my Facebook page for more updates https://www.facebook.com/ChandragiriSubbuFilms/,2.9K,113
['https://www.youtube.com/watch/e_L1L_hia2Y'],"15,271,521 views","Apr 21, 2018","I am seeing so many lovely comments from you all
Jo log bhi proud feel kar rahe hai and are thanking me that i represented india
Thank you so much
Ab bas agle saal in sabko india laake rahenge ❤️",941K,21K
['https://www.youtube.com/watch/E_e3nSdBiqE'],"309,811 views","Nov 11, 2017","വെട്ടിചിതറിച്ചിട്ടും മുറിവോട് കൂടി തിരിച്ചു വന്നില്ലേ ? 
 Yes he is back 👌👌",5.6K,154
['https://www.youtube.com/watch/dzxFdtWmjto'],"1,355,489 views","Nov 12, 2017","Omg everyone was scared of anaconda 😱
She’s gawar",6.8K,3.8K
['https://www.youtube.com/watch/DZFXaNpbMvI'],"1,557,192 views","Nov 10, 2017",Music director ku oru like ah podunga pa 🤗🤓,41K,1.6K
['https://www.youtube.com/watch/DZ9vgenKvDc'],"30,348,965 views","Apr 30, 2018",Koi to baat he tumme jo tumko auro se alag karti he,588K,40K
['https://www.youtube.com/watch/Dxg-ELOg-L4'],"12,236,030 views","Nov 8, 2017",Watch Carbon Copy - A Tale of Two Brothers ft. Mayur More & Namash Bhardwaj: https://youtu.be/R7MwALISg9s,249K,7.5K
['https://www.youtube.com/watch/DWC2o_h5wP0'],"3,598,881 views","Nov 10, 2017",JUST CAME HERE TO SEE HIM SMILE 🥺,55K,2K
['https://www.youtube.com/watch/Dp1Vb81ifb0'],"124,127 views","Nov 12, 2017","मादरचोद पोलिसांना फासावर लटकवा ,एखाद्या चा जीव घेन किती वाईट असत ते कळल, थू कुत्र्यानु, हांडगे आहात तुम्ही",195,16
['https://www.youtube.com/watch/DMl1YJyqEdo'],"2,481,750,872 views","Nov 9, 2017","I sent my girlfriend this song after I told her I loved her, we dated for 4 months before she got in a fatal car crash and died due to a lung puncture from one of her ribs. I played this song as she lied in the hospital bed, as the EEG beeped away. Only after 2 years I can listen to it again.",13M,506K
['https://www.youtube.com/watch/dmIn_HJ6AJY'],"17,585,617 views","Jun 2, 2018",can we just appreciate the effort that went into this like he literally grew a beard!,979K,12K
['https://www.youtube.com/watch/DIBw9dSVKdU'],"15,992,743 views","Jan 12, 2018","Thank you everyone for the love. I’m proud of the final output and proud of each and every person who has worked hard on this song.I’d request all of you to SHARE this video with your friends, family and loved ones. Your support means world to me. Keep Sharing, Keep Loving! <3",737K,25K
['https://www.youtube.com/watch/Dg21EeUWisc'],"108,515 views","Nov 14, 2017",Asalu avida chaitanya mom ani neku evaru chepparu.pratusha foundation lo doctor.kanisam chaitanya mom ela untaru kuda teliyakunda vedios pedutunnaru.fake channels,114,111
['https://www.youtube.com/watch/dfnCAmr569k'],"2,956,227 views","Nov 13, 2017",I like her. She seems like she would put Casey in his place lol,102K,8.3K
['https://www.youtube.com/watch/deKWUn7r-_8'],"8,921,917 views","Dec 16, 2017",The country version was better 😂😂😂,379K,7K
['https://www.youtube.com/watch/DCUyV3eBilg'],"17,743,031 views","Nov 12, 2017",That clip of Trump refusing to answer the question and going to sit at his desk and pretend to do paper work feels like it was taken straight out of The Office.,228K,17K
['https://www.youtube.com/watch/DClc5ZhpyWQ'],"209,467 views","Nov 12, 2017",I m happy she is out I don't like her . she didn't do anything talking so much,1.4K,644
['https://www.youtube.com/watch/DckjtlTRxxw'],"12,736,455 views","Nov 13, 2017",Who else just watches the video but doesn’t do the life hacks,102K,11K
['https://www.youtube.com/watch/dA22FnCf0CI'],"318,835 views","Nov 10, 2017",அறம் படத்தின் உண்மையான அர்த்தம் முருகதாசின் துரோகத்திற்கான செருப்படி பதில்..,6.1K,366
['https://www.youtube.com/watch/D9kxpUcWID0'],"19,664,876 views","Nov 11, 2017",If Ur great make a film without mistakes,230K,35K
['https://www.youtube.com/watch/d8O6SoPOkAk'],"937,258 views","Nov 13, 2017",this satya and sitamparam is very very wost.,3.2K,1.7K
['https://www.youtube.com/watch/D86RtevtfrA'],"73,157,311 views","May 30, 2018","Watch the trailer to the most awaited movie of the year - Mission Mangal - starring Akshay Kumar, Vidya Balan, Sonakshi Sinha and Taapsee Pannu, directed by Jagan Shakti : https://youtu.be/q10nfS9V090",953K,43K
['https://www.youtube.com/watch/D6yCN-UQalQ'],"1,241,231 views","Dec 14, 2017",4 Million ki khushi :) Sirff ek hi baat hai kehne ko...Thank you....LIKE SHARE mat bhoolna... Faila do bas ise :),211K,3.3K
['https://www.youtube.com/watch/d380meD0W0M'],"82,136 views","Streamed live on Nov 13, 2017",Such a nice session! I like  really Sir pls cording decoding ka 1 session design kare na thank u for this vodeo,2.5K,74
['https://www.youtube.com/watch/D1z2sKcSsfY'],"164,120 views","Nov 11, 2017",He is handling this issue very cool,836,141
['https://www.youtube.com/watch/cVYWO4aOhis'],"2,035,895 views","Nov 12, 2017",Super hair style . waiting for first look. Best couple of TFI 😍😍😍😍,8.9K,718
['https://www.youtube.com/watch/cstA-AoF68g'],"214,467 views","Nov 12, 2017","Aww, Rana's so cute..laughing 😘!!",619,62
['https://www.youtube.com/watch/cSp1dM2Vj48'],"12,465,077 views","May 6, 2018","yup, a swedish man wearing merch with a russian phrase, sitting beside his italian fiance, in UK, greeting in japanese. A wonderful blend of europe with a pinch of asia",763K,9.2K
['https://www.youtube.com/watch/cRxYTelqWOg'],"5,354,039 views","Nov 11, 2017","iska second part banna chahiye,
jisme customer badla leta ho.
Hit it if you agree.",131K,7.7K
['https://www.youtube.com/watch/cpkxJ1y_0V4'],"4,211,391 views","Nov 10, 2017",Osm,58K,1.4K
['https://www.youtube.com/watch/cOJ7v9jCXxU'],"17,670,464 views","Jan 22, 2018",That man who said bitch lasagna has made history without knowing it,966K,45K
['https://www.youtube.com/watch/CLl1RbxDRAs'],"123,254 views","Nov 13, 2017",Happy Children's Day...,1.1K,175
['https://www.youtube.com/watch/cGL7UlcbBsI'],"1,556,513 views","Nov 11, 2017",ഉപ്പും മുളകും യൂട്യൂബ് വഴി കാണുന്ന എത്ര പ്രവാസികളുണ്ട് ?,11K,842
['https://www.youtube.com/watch/CgbZnZrE9OM'],"406,567 views","Nov 11, 2017",Super manikyam,881,256
['https://www.youtube.com/watch/cCE2o-HCEQA'],"614,647 views","Nov 10, 2017",Who are watching after Sujith's incident...,7.9K,2.9K
['https://www.youtube.com/watch/caUHggmbKFs'],"19,304,902 views","Jun 4, 2018",Ready Player Two looks great,239K,15K
['https://www.youtube.com/watch/cA3fSbbeLqI'],"6,256,178 views","Feb 19, 2018","""Can I get a refund""
Carlos""HMMM nOnoNoNo""",301K,7.6K
['https://www.youtube.com/watch/c64I9HNpiOY'],"15,636,773 views","Jan 13, 2018",Time chakda song sun ke kaun kaun aya dobara eh song sunn like karo 👍,288K,7.5K
['https://www.youtube.com/watch/bYSRPuDEnTg'],"54,088,353 views","May 7, 2018","► Play Fortnite for FREE! https://pixly.go2cloud.org/SHcD
“I can’t tell you how safe I feel in here with you” - Ty 😂
► Follow us on Twitch! https://www.twitch.tv/DudePerfectGaming",801K,33K
['https://www.youtube.com/watch/bx-QX2ZPH60'],"8,991,742 views","May 6, 2018",DESI KI HOD NA HOVE🔥 kaisi lagi video?❤️,423K,11K
['https://www.youtube.com/watch/BwYmaDSXdQY'],"89,453,770 views","Mar 16, 2018",No gf no tension= permish verma.. Hit like mere paaji k liye,833K,85K
['https://www.youtube.com/watch/BwIw80nybkU'],"37,730,590 views","Feb 4, 2018","This trailer is so epic, makes me feel so sad that everything is over",383K,17K
['https://www.youtube.com/watch/bvmlbu5Vipg'],"12,360,512 views","Apr 17, 2018","Jiski roti Uski Boti 
Aaj kategi, Behen ki!... 
Guys agar Achi Lagi toh Like mardena 😊",771K,27K
['https://www.youtube.com/watch/b-ShNqtj8Yw'],"19,897,379 views","Mar 6, 2018",Who is watching after sarileru neekevvaru teaser like here,664K,36K
['https://www.youtube.com/watch/BhZx-ZEz0_Y'],"170,664,650 views","Jan 18, 2018","Honey Singh : Like🔥💪
Badshah : Comment 😂
Dekhte hai Kon hai Winner 🔥",910K,81K
['https://www.youtube.com/watch/bHX-8h6OKi8'],"33,292,764 views","Feb 12, 2018","Please give lots and lots of love to TUSHAR from beyounick and RADHIKA
And the entire team who made this video possible for me❤️",1.2M,26K
['https://www.youtube.com/watch/BgYJmXbIVZo'],"47,969,449 views","Mar 22, 2018","People : Movie sequels are always worse than the original

Deadpool 2 : Hold my beer",638K,16K
['https://www.youtube.com/watch/bFcHu8jCBRw'],"20,149,891 views","Dec 19, 2017",Fun fact: Kim Kardashian and Kendall Jenner was cast in a small role as a celebs in met gala event and didn't get credit. I love it,137K,65K
['https://www.youtube.com/watch/bF_naHpa-T4'],"2,956,227 views","Nov 13, 2017",I'd be interested because I'd love to see a different side of Candice. She seems like an extremely sharp and smart woman.,102K,8.3K
['https://www.youtube.com/watch/bDDZLQw8Wb4'],"17,743,031 views","Nov 12, 2017",That clip of Trump refusing to answer the question and going to sit at his desk and pretend to do paper work feels like it was taken straight out of The Office.,228K,17K
['https://www.youtube.com/watch/B6IxqP9z9XE'],"22,938,630 views","Nov 12, 2017",Thank you for watching. Which Superman is better?,392K,14K
['https://www.youtube.com/watch/B5vg6tD8IKs'],"1,404,466 views","Nov 13, 2017",I LOVE LINK FOR RANDOMLY SINGING FALL OUT BOY AT THE END,21K,1.6K
['https://www.youtube.com/watch/B4FySeq6DIo'],"4,823,389 views","Nov 12, 2017",The fact that they do all this for their name on a  tinfoil ball,189K,2.9K
['https://www.youtube.com/watch/aumXGJnd_hU'],"2,129,664 views","Nov 13, 2017",Watch all my iPhone X videos! https://www.youtube.com/watch?v=vqztGUwhRlQ&list=PLoYRB6C09WUDbCndtEDELX-Fpk_pgATvF,36K,3.4K
['https://www.youtube.com/watch/AlrbKKGIcjI'],"4,188,427 views","Nov 11, 2017",Kate McKinnon as Jeff Sessions is one of the most clever characters  ever on SNL.  She kills it every time .,25K,3.5K
['https://www.youtube.com/watch/AL1RsbakLx4'],"2,245,264 views","Nov 12, 2017",They're making consuming ice cream way too complicated just give me a spoon,39K,1.5K
['https://www.youtube.com/watch/AHWTbKVpukU'],"18,826,839 views","Nov 13, 2017",,96K,2.8K
['https://www.youtube.com/watch/a8hFBXnqo0k'],"1,941,596 views","Nov 13, 2017",But AI is a whole different thing from Automation. Automation isn't 'intelligent' so this will be very different.,39K,3.6K
['https://www.youtube.com/watch/a8G-vVFKm4M'],"115,327 views","Nov 12, 2017",he needed a boost  hahahahahaha 0:15,875,43
['https://www.youtube.com/watch/A0-Ri5Rciow'],"313,911 views","Nov 12, 2017",This is normally when I post a clever joke. I'm legitimately sad about Shiva.,2.8K,642
['https://www.youtube.com/watch/A_XgvSkbCvM'],"146,394,380 views","Nov 13, 2017","This video is a reminder to always stay true to yourself, no matter what anyone else thinks. It will always lead you to finding your true passion.❤️",1.6M,43K
['https://www.youtube.com/watch/9qMbaOzubCc'],"1,961,115 views","Nov 12, 2017",I'm dying all the indians are saying PAkistan lmaooo,22K,3K
['https://www.youtube.com/watch/9Fg_C0In88g'],"1,139,572 views","Nov 12, 2017",HERE IS WHAT I BOUGHT: https://www.youtube.com/watch?v=YTiYQwk7Bw0,15K,719
['https://www.youtube.com/watch/9e-90Sz_iN0'],"22,627,153 views","Nov 13, 2017",Metal Gear Jr.™,129K,13K
['https://www.youtube.com/watch/9do6ZWRmoRM'],"410,315 views","Nov 12, 2017",This makes a lot of sense. Like too much sense. I'm flabbergasted.,10K,792
['https://www.youtube.com/watch/9AemOdm8LrU'],"1,261,473 views","Nov 13, 2017",Thank you so much to everyone who has supported our nonprofit mission on Patreon! You make this work possible. Want to learn more about how you can get involved? Check out our Patreon page: http://bit.ly/2hpoz8B,27K,317
['https://www.youtube.com/watch/-90fWzjVM7w'],"4,511,440 views","Nov 13, 2017",Absolutely amazing Peter! You must be on cloud 9... Now we need to bring the paramotors down and do some flying! Keep going my friend! -Alex,126K,1.8K
['https://www.youtube.com/watch/8WfHX9Q8S6w'],"435,292 views","Nov 12, 2017","It's not incest if u say no chromo

- gigguk 2019",12K,321
['https://www.youtube.com/watch/8vBjlhp73hU'],"2,083,665 views","Nov 13, 2017",what if we’re just dreaming right now and when we die we wake up in reality?,51K,681
['https://www.youtube.com/watch/8uP0-0IOaxk'],"580,916 views","Nov 12, 2017",Find more of Ironhead Studio's work here: http://ironheadstudio.com/,6.4K,249
['https://www.youtube.com/watch/82Xuew50Dh4'],"761,459 views","Nov 13, 2017","Perfectly safe, I often browse youtube and reply to comments whilst driving, nothing has ha",30K,270
['https://www.youtube.com/watch/8_Wt0G4b7i4'],"1,300,792 views","Nov 12, 2017",Yeah. Your rent is too high. Landlord is taking advantage of the tenants.,12K,1.6K
['https://www.youtube.com/watch/7zCrBCsRcDc'],"2,233,632 views","Nov 13, 2017","1 like = 1 scrub. Also, check out Sven's channel for some home-grown memes as well. Have a day.",102K,802
['https://www.youtube.com/watch/7z90pkNWBlw'],"1,276,609 views","Nov 12, 2017","Dude, I can't believe how far you've come! It seriously amazes me!",19K,495
['https://www.youtube.com/watch/7yTWI873yfg'],"458,452 views","Nov 13, 2017",Nail and gear in the background. 👌🏼,10K,189
['https://www.youtube.com/watch/7xQ6WkiNCvk'],"1,192,973 views","Nov 13, 2017",No headphone jack? bad design...,35K,990
['https://www.youtube.com/watch/7U1LJYwTzQM'],"89,872 views","Nov 13, 2017",LeBron James one of the most epic housewives ever !,284,129
['https://www.youtube.com/watch/7RGnOALpYCk'],"9,265,439 views","Nov 12, 2017","Their appraisal was $200k, to save everyone time",130K,27K
['https://www.youtube.com/watch/7MxiQ4v0EnE'],"61,685,895 views","Nov 10, 2017","This wasn't Eminem. 
This wasn't Slim. 

This was Marshall",1.1M,75K
['https://www.youtube.com/watch/7MeCnwGvVI8'],"539,776 views","Nov 12, 2017","“Shits broke again”, he says without any change in tone. Not surprised at all 😂",11K,342
['https://www.youtube.com/watch/7HTw1Jz5lcQ'],"2,379,824 views","Nov 11, 2017",wow,10K,839
['https://www.youtube.com/watch/7gShaSuK_PY'],"171,240 views","Apr 20, 2017",omg I want to hatch a kitten,3K,217
['https://www.youtube.com/watch/-7dTzc8kTOY'],"446,451 views","Nov 12, 2017","Please do this for the MCU, just before Infinity War.",9.5K,974
['https://www.youtube.com/watch/7BUEKSFwk7Q'],"1,111,622 views","Nov 13, 2017",Check out more videos at youtube.com/hunterhayes and text me at (337) 221-9213 to let me know what you think!,17K,347
['https://www.youtube.com/watch/6ZfuNTqbHE8'],"1,831,392 views","Nov 12, 2017","""Swish swish, bish!"" 
IM SCREAMINGGGG",64K,2.4K
['https://www.youtube.com/watch/6I2yAoxBRtI'],"2,405,845 views","Nov 13, 2017",How many people love NICKELBACK?,36K,1.8K
['https://www.youtube.com/watch/64K0ZNYZBs0'],"3,727,785 views","Nov 13, 2017","3 years ago no one listened, now we are facing: The Blackout.",27K,1.2K
['https://www.youtube.com/watch/5zHIyadCwwE'],"45,902 views","Nov 12, 2017",Hope all ok 🙏🏼,340,31
['https://www.youtube.com/watch/5xsWmHAkQhw'],"24,755 views","Nov 13, 2017",This is the second time this guy got on trending. How?,100,76
['https://www.youtube.com/watch/5ILPvGB726A'],"613,323 views","Nov 11, 2017",Who needs diss track when u have facts,22K,22K
['https://www.youtube.com/watch/5hpkINjCf7A'],"519,074 views","Nov 11, 2017",,7.7K,1.8K
['https://www.youtube.com/watch/4xTpw-05J0k'],"2,967,873 views","Nov 11, 2017",Why don't you try transforming into one of your friends and see if you can unlock their phone?,56K,2.7K
['https://www.youtube.com/watch/4TStX6b0uJ0'],"391,378 views","Nov 13, 2017",Subscribe to THE PET COLLECTIVE for more awesome & adorable pets!  https://www.youtube.com/user/ThePetCollective,7.3K,121
['https://www.youtube.com/watch/4tEqzEo5uKY'],"1,085,416 views","Nov 10, 2017",I think the announcer said it best,2.1K,2.5K
['https://www.youtube.com/watch/4q8gvlRQh84'],"51,699 views","Nov 12, 2017",The anoncers are definitely d3 too,140,77
